blue_gold,blue_xp,blue_barons,blue_dragons,blue_towers,blue_inhibitors,blue_riftHeralds,blue_champions,blue_atakhans,blue_hordes,red_gold,red_xp,red_barons,red_dragons,red_towers,red_inhibitors,red_riftHeralds,red_champions,red_atakhans,red_hordes,label
54041,71784,0,0,2,0,0,16,0,4,66505,84944,1,4,12,3,1,22,1,2,0
53326,66728,0,1,3,0,0,19,1,1,59034,76405,0,3,7,1,1,26,0,5,0
60418,79482,1,2,9,2,1,34,1,6,50084,66069,0,2,2,0,0,18,0,0,1
54958,64343,0,0,4,0,1,28,0,3,61250,75506,0,4,8,1,0,39,1,3,0
49417,60820,0,0,1,0,0,16,0,3,62209,76855,1,4,11,2,1,38,1,3,0
60160,76988,1,4,10,2,1,27,1,1,49618,63054,0,0,1,0,0,19,0,5,1
65533,82702,1,4,6,0,1,38,0,2,54061,66244,0,0,1,0,0,23,0,4,1
49430,59398,0,2,5,0,1,26,1,3,43558,51970,0,1,1,0,0,16,0,3,1
60765,77933,0,1,4,0,1,31,1,6,70672,87501,1,3,9,1,0,43,0,0,0
61992,81231,0,0,5,1,0,26,1,6,70805,94782,2,5,9,1,1,27,0,0,0
50009,54701,0,1,8,1,0,37,1,3,39492,45013,0,1,1,0,1,16,0,3,1
54330,63306,0,1,3,0,0,28,0,6,63365,78641,1,2,9,2,1,38,1,0,0
48536,57147,0,0,4,0,1,16,0,3,58922,79508,1,3,7,1,0,32,1,3,0
33002,37794,0,2,2,0,0,20,0,6,25307,31625,0,0,0,0,0,7,0,0,1
52623,68963,0,3,5,0,1,29,1,3,45436,53090,0,0,2,0,0,17,0,3,1
36347,43912,0,0,1,0,0,11,0,1,47544,61355,0,3,8,1,1,27,1,5,0
55400,65789,0,3,10,2,0,39,1,4,44508,49391,0,0,3,0,1,23,0,2,1
71087,86522,1,3,11,4,1,39,0,5,59993,77656,0,2,2,0,0,32,1,1,1
62252,78402,0,2,6,0,0,30,0,1,73193,93457,1,3,10,2,1,38,1,5,0
52483,63561,0,1,3,0,0,21,0,0,65322,86941,1,3,9,3,1,40,1,6,0
56608,72846,1,4,7,0,0,31,1,3,45902,57413,0,0,2,0,1,16,0,3,1
35487,39189,0,0,2,0,0,17,0,6,29380,33302,0,2,0,0,1,11,0,0,1
49884,61157,0,1,3,0,0,20,0,4,62148,79454,1,3,11,3,1,39,1,2,0
51864,66725,0,3,5,0,1,26,1,2,48191,57088,0,0,2,0,0,20,0,4,1
60407,76200,1,3,11,3,1,33,1,6,55746,69724,0,0,5,0,0,20,0,0,1
53617,63597,0,3,8,1,1,27,1,2,46853,58817,0,0,1,0,0,18,0,4,1
32165,38183,0,0,2,0,0,7,0,0,43312,47088,0,2,7,1,0,32,0,6,0
60217,77601,1,2,11,2,1,33,0,3,50176,59936,0,2,2,0,0,25,1,3,1
69961,90390,1,2,9,1,1,30,1,1,56524,74033,0,3,2,0,0,22,0,2,1
53949,69156,0,0,6,0,0,21,1,4,60806,74906,1,3,9,2,0,33,0,2,0
40288,48066,0,0,3,0,0,11,0,0,53399,60213,0,3,10,1,1,29,1,6,0
44413,50132,0,3,7,1,1,23,0,1,34328,41305,0,0,2,0,0,14,0,5,1
68502,85293,0,2,5,1,1,39,1,6,74095,92054,1,3,7,4,0,43,0,0,0
40424,47775,0,3,4,0,1,26,0,4,35419,41339,0,0,1,0,0,16,0,2,1
51548,69254,0,3,10,2,0,21,1,6,38462,49931,0,0,0,0,1,6,0,0,1
66923,86079,0,1,4,0,0,44,0,0,70902,88456,1,3,8,2,1,48,1,6,1
68209,88586,2,2,4,0,0,24,1,6,74883,96311,0,3,10,2,1,41,0,0,0
55359,58336,0,1,6,0,0,34,0,4,59587,75367,1,3,7,1,0,42,1,2,0
57953,72495,0,2,10,2,0,43,1,4,45708,53828,0,1,1,0,1,22,0,2,1
58794,72889,1,3,7,1,1,27,0,3,51634,67518,0,1,3,0,0,20,1,0,1
25077,28088,0,0,0,0,0,8,0,3,31837,34703,0,2,2,0,0,20,0,3,0
30399,35334,0,0,2,0,0,5,0,3,33961,40306,0,2,3,0,1,11,0,3,0
70483,86175,2,1,9,1,1,38,0,6,61120,79178,0,3,3,0,0,27,1,0,1
71802,92911,1,3,9,1,1,38,1,6,63674,76886,0,2,3,0,0,26,0,0,1
70253,85565,0,2,9,2,1,31,1,3,75398,99184,2,4,9,3,0,39,0,3,0
57100,73034,1,2,4,0,0,26,0,6,62302,79206,0,2,7,1,0,25,1,0,0
31868,33111,0,1,2,0,0,20,0,6,25145,30483,0,0,0,0,0,10,0,0,1
30319,32629,0,1,1,0,0,18,0,3,24179,28793,0,1,1,0,0,6,0,3,1
60376,75644,1,3,9,1,0,29,1,3,55012,67376,0,1,3,0,1,21,0,3,1
47405,58266,0,0,3,0,0,19,0,1,57538,74548,0,4,10,2,1,38,1,5,0
50053,62798,0,1,4,0,0,22,1,5,53627,63104,0,2,7,1,1,32,0,1,0
29024,32895,0,1,0,0,0,10,0,1,34828,37009,0,1,5,0,0,17,0,5,0
51855,60681,0,0,3,0,0,19,0,6,59761,78163,1,4,10,2,1,38,1,0,0
24400,29417,0,1,0,0,0,4,0,3,36582,37680,0,1,6,0,0,19,0,3,0
51372,58951,0,3,8,1,1,29,0,2,33991,44273,0,0,0,0,0,12,0,4,1
27126,32911,0,0,1,0,0,5,0,5,33648,38346,0,2,2,0,0,22,0,1,0
59331,74145,0,0,5,0,0,18,0,4,63767,81517,1,3,10,2,1,21,1,2,0
31456,34173,0,1,1,0,0,20,0,5,26599,27525,0,0,0,0,0,10,0,0,1
69003,90175,1,0,8,2,0,38,1,6,58435,73614,0,4,2,0,0,19,0,0,1
48115,56811,0,1,3,0,1,19,0,3,62786,81440,1,3,9,2,0,35,1,3,0
68708,87326,0,3,4,0,1,42,1,3,76476,97026,1,2,10,2,0,37,0,0,0
59191,70626,0,3,10,2,1,54,1,5,44367,53175,0,0,1,0,0,20,0,1,1
62597,77935,0,3,4,0,0,37,0,3,70619,87625,1,2,11,3,1,41,1,3,0
53652,68891,0,2,2,0,1,22,0,0,68277,89271,1,2,11,1,0,37,1,3,0
54396,68416,0,3,9,1,1,30,1,6,43268,52972,0,1,1,0,0,18,0,0,1
66706,80402,0,0,5,0,1,33,0,3,67298,86289,1,4,8,1,0,43,1,3,0
47416,56527,0,0,1,0,0,39,0,0,49767,63016,0,0,1,0,0,46,0,0,0
51669,56151,0,2,10,1,1,35,0,6,37149,44809,0,0,0,0,0,17,0,0,1
23289,29771,0,0,0,0,0,3,0,0,31303,36266,0,2,3,0,0,14,0,6,0
36638,42555,0,0,0,0,0,16,0,6,51061,56440,0,3,10,2,1,36,0,0,0
49661,64936,0,1,0,0,0,28,0,3,59945,67664,0,2,13,5,1,47,0,3,0
147845,334526,0,0,2,4,0,123,0,0,148159,326612,0,0,4,4,0,100,0,0,0
69990,101004,0,0,4,2,0,55,0,0,69201,95558,0,0,4,1,0,47,0,0,1
68551,95056,0,0,4,1,0,43,0,0,68571,97396,0,0,2,0,0,53,0,0,1
54535,74545,0,0,0,0,0,47,0,0,61801,82739,0,0,4,2,0,63,0,0,0
60325,80830,0,0,4,2,0,59,0,0,53329,70268,0,0,0,0,0,35,0,0,1
76549,109172,0,0,4,1,0,58,0,0,76713,115503,0,0,4,1,0,64,0,0,0
62530,85773,0,0,4,1,0,52,0,0,57019,78643,0,0,0,0,0,40,0,0,1
52795,63765,0,2,4,0,1,23,0,6,62038,78366,1,2,8,1,0,33,1,0,0
75525,112383,0,0,2,1,0,57,0,0,77269,115433,0,0,4,3,0,66,0,0,0
68691,99758,0,0,2,1,0,45,0,0,74418,110737,0,0,4,2,0,74,0,0,0
64328,76886,1,0,6,0,1,23,0,3,72272,93519,1,5,9,1,0,41,1,3,0
62307,75550,1,3,11,3,1,41,1,2,49566,59129,0,1,3,0,0,21,0,4,1
50990,60590,0,0,1,0,0,26,0,0,57119,72921,0,0,4,1,0,42,0,0,0
58370,78838,0,0,4,1,0,54,0,0,51801,68447,0,0,0,0,0,40,0,0,1
60518,82072,0,0,4,2,0,51,0,0,56601,73590,0,0,0,0,0,40,0,0,1
52129,57980,0,0,2,0,1,25,0,5,63955,76296,1,4,11,3,0,45,1,1,0
37195,50084,0,0,0,0,0,12,0,3,51452,66315,0,3,10,2,1,23,1,3,0
61116,76400,1,3,8,1,1,38,1,5,52909,63178,0,1,3,0,0,25,0,1,1
71468,88817,1,5,11,2,0,52,0,3,62043,75173,0,0,3,0,1,36,1,3,1
56864,71858,1,2,7,1,0,25,0,3,48483,61122,0,1,3,0,1,16,1,3,1
59286,74399,1,4,8,1,1,29,1,0,51347,61605,0,0,4,0,0,22,0,6,1
58545,76064,0,4,10,1,1,21,1,3,51938,64298,0,0,3,0,0,17,0,3,1
56897,67961,0,2,2,0,1,27,0,6,63712,76728,0,2,8,1,0,43,1,0,0
54869,65846,0,1,2,0,0,23,0,1,69400,87968,1,3,9,1,0,47,1,5,0
57349,71348,0,3,10,1,1,33,1,3,45853,57136,0,1,1,0,0,26,0,3,1
52325,63258,0,2,4,0,1,24,0,6,55364,69569,0,2,7,1,0,32,1,0,0
61757,71592,1,1,12,3,1,37,1,3,50271,58836,0,3,2,0,0,30,0,3,1
67362,83468,1,3,10,1,0,35,1,3,64301,74341,0,1,7,1,1,34,0,3,1
39504,46664,0,0,1,0,0,22,0,6,47924,51635,0,2,8,1,1,34,0,0,0
43058,46819,0,1,6,0,1,30,0,6,29588,34942,0,1,0,0,0,8,0,0,1
26366,29188,0,1,0,0,0,12,0,0,33448,37278,0,1,1,0,0,29,0,6,0
40713,46931,0,1,2,0,0,19,0,3,50951,58432,0,2,7,1,1,38,0,3,0
69178,92090,1,3,10,2,0,37,1,6,59813,78109,0,2,2,0,1,24,0,0,1
55807,70686,0,2,10,2,1,45,1,0,40628,47476,0,1,1,0,0,16,0,6,1
47223,52889,0,2,7,2,1,29,0,5,38647,48354,0,1,1,0,0,16,0,1,1
68821,99749,0,0,1,0,0,52,0,0,76460,115048,0,0,4,1,0,71,0,0,0
70759,98476,0,0,3,2,0,54,0,0,72944,108680,0,0,4,1,0,64,0,0,0
69151,102881,0,0,1,0,0,59,0,0,73270,107958,0,0,4,1,0,59,0,0,0
60046,79823,0,0,0,0,0,27,0,0,67826,96827,0,0,4,1,0,59,0,0,0
62508,89539,0,0,4,1,0,48,0,0,60509,81969,0,0,1,0,0,47,0,0,1
63173,86099,0,0,1,0,0,60,0,0,63983,89536,0,0,3,1,0,52,0,0,0
53229,70133,0,0,3,1,0,55,0,0,47212,62084,0,0,0,0,0,41,0,0,1
76658,106473,0,0,2,1,0,55,0,0,77653,113856,0,0,4,2,0,57,0,0,0
72238,99759,0,0,3,1,0,53,0,0,71790,105794,0,0,4,2,0,51,0,0,0
54585,71127,0,0,1,0,0,40,0,0,59770,79114,0,0,4,1,0,48,0,0,0
70736,102402,0,0,2,3,0,69,0,0,74610,111281,0,0,4,1,0,68,0,0,0
70845,105039,0,0,4,2,0,57,0,0,66265,93601,0,0,0,0,0,44,0,0,1
97918,161774,0,0,4,2,0,57,0,0,93680,146772,0,0,2,2,0,48,0,0,1
76724,114791,0,0,4,1,0,59,0,0,72169,106447,0,0,2,0,0,54,0,0,1
73698,109699,0,0,4,1,0,65,0,0,69249,100873,0,0,1,0,0,58,0,0,1
48214,58545,0,0,1,0,0,33,0,0,51378,65941,0,0,2,1,0,46,0,0,0
61705,83827,0,0,1,0,0,51,0,0,66528,94968,0,0,4,2,0,62,0,0,0
69026,96037,0,0,2,1,0,60,0,0,72030,101571,0,0,4,2,0,62,0,0,0
65822,90412,0,0,1,0,0,54,0,0,68942,95941,0,0,4,1,0,55,0,0,0
45348,55654,0,0,0,0,0,29,0,0,49430,62906,0,0,2,0,0,47,0,0,0
60833,70324,0,1,9,1,1,22,0,6,68405,88607,1,4,10,2,0,37,1,0,0
