summonerId,puuid,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak
neqS7b1sd0arCktmDP-6g1wvaFvCTo5a0wNcgIjGMJe8,7BZyMjT6oH_oOrqdSTFUoglEl5TNtT_debY05lqLeAshC4QDWMBgkDnm2sE78wOY9GQS1D4E0k8aVw,1441,I,192,156,True,False,False,False
gwlUb-t605gCai8nyEkyfJE_PrCgfCOy4etqjFz4tv-SClg,0XfE-0BIKic2vl_N9AiEQ5d4IEVKS5-0Mfmyo5HtRgZyHaLxWCBoxd0dt9-drnOVmaIJxcqITlbspw,1417,I,279,235,True,False,False,False
EpskXO76aPQQF1r3JUkVG7xVaexZeC0Cm04UKx66IbWmhx3UjAAxlSBRMw,148mFojwKjXcVGD5A_pe-LjBqt5heiMGJk-44ldk_8pRrkntKuLf4kkTl-SauSx5sxg4JTLHrY62rQ,1413,I,174,101,True,False,False,False
dTwqx-oVCCudy2MbbVfLzPGbwY-zWRKnA2BuSXTQtJbXGBI,7wN_l5pvyqHSeLIQoZn8m2LqEXR0dPfWWDhBqIH6ODbcWS0MayH4JuDQ3K8DSwODSnnF63jEI1Rtbg,1408,I,263,229,True,False,False,False
0kdkn5typ9tMpAUo65nzj7nu8sXjJdwXnLWfT5u1bgeR2q457Zq-E1kPFA,JoddHAYixxEAI4-IIRaXH_VajLFv-BBqZYsTCiuYsDR9FkNLnnaKxhxaLP8MqRSvvDsagGn4kxrCEA,1393,I,125,69,False,False,False,True
Au7KQDp79YcShr7yleQLwUo59UPl8khwExDRQod3GuJUaUo,8TSmSFAqacIyN5J-kE1jEVQkNpF3d7-3ybaCM90wo-ALe2cKkPA7KXFNQMIiks2MwPObm66DLzt8Hg,1385,I,154,127,True,False,False,True
F5S1_dO5QqoXv5S6pPPteNBGEwyMDebZ_ZbUl3lFO3wCLEsSiXkdf7Pcrw,LHLjN8o2SCDYr2TNdqC1HyiczSWYcVGg9W-x68UWLbkh5F-8xKv1_2cwO92xK0QIhtYGJ0XDxK5m-Q,1359,I,231,164,False,False,False,False
-yyFuGtE2CZZmZHbOGdk6EW3givn1FJ6021XLOtuvCmkWDqRt29d3Q9QFQ,jmz9amV0Dq6sFJFS68D5u3HPfSimFALfx9i-mkJcDs2pR0YrNrvQEInOw5yxvzcv2XQviKB89PnnjQ,1348,I,262,201,True,False,False,False
nBeauz7DP435ZwEcpQRFG0T9p13GqAtgfZjrwwK66OrlaT4,AVq9yqgkP_ZLiqZSpkZcXh3zyYbve9AKkqVSa5Ft8Ginq0uVbB8Et-7oMnmOvBTlwJKo6DBu9gYPcg,1343,I,248,215,True,False,False,False
N3IKfAsZZy7_eaQ9trIENu1WbbQqo9m3MVJI6Vw_cNfItEk,GtbLBUQeY1PNCmbcQKTdcbGRRzB_asQQyyq5mpUWErJG8NQzQ110EbPkhbBiSdq5ThL7k88CfU3WiA,1343,I,135,100,True,False,False,False
9abiUUJAwvWPn9_96-X3EHfrk4o_11vIaXgQdXxjHYYBb3p9fP2EC76Urw,iyLy-CuercqQvYmErmpINR-7sscOS0lBOGJszSIfds1YCbC2PtiW5h0mDzL80Y0TimBs6hDUbVYMxQ,1336,I,125,96,True,False,False,False
VChpA3c9at_SbhTUJ65knQkyx_aZ9LLcTgsEbTK8wZom84o,awNWjb-rQ2PtA1bHX2nlVWFyuJmETOX4z4Zp2XRVwiLYGu3s6xCPa2VoSp1JyehYf2moStQrHl_Lbw,1319,I,211,182,True,False,False,True
R5QsDGo05Ef-bvj6cyKy3oIKokddDj2lhS6Bnvo-8n8Pj9o,rKaEygipeKOkYxxhC7BtngXSQC7gZpUnyZb9VbfBRbtx6rx01u9ho6PIdxfa5_i_eHu8D0HsWq3rYA,1311,I,125,72,False,False,False,False
GL7ovioR2q6VKHQsmoXazgLOJsB140AhZqBUhNuWrEsA-yhXM7PED-1gXA,krdElCOcRNf7DL3oy4nDq0BvEFPjPtn08VJNtZO2NAdYizVmc7Fjd3m_ksKAFI6dt3-pgaUABFLxVw,1300,I,127,91,True,False,False,False
UcOLu0WjlKVivD6LCwBPgqhKZFrmfh3ztGDQ26Jgc_8nmEn5,p7frBG44btq3efIKdDlrWblbpDPtE1yQ0hFhgGcVs-DC85AnkJbzT9WbswCkXnvLDhdHU2kZDGcZJQ,1290,I,139,112,True,False,False,False
JB5Xvp2WerRMdZBXes_BQdbLn_ypPhxWWl0FF_zfVA,GO-g8A2GplWo9vTiDKW7ZZMZbVu5NSZYVS7Qs6TiQQljk5My1_a7hWwuHq4hIAPufLY4VQd8nFiwHA,1281,I,225,189,True,False,False,False
ZplIf_UASZdv0vV0QZYKzoAnZbW5xwtqHsvT2KpROM1IYuy5frMEYMbk8g,D5kyD3sAbcD3RddyKJYmF3hCbOqq_94oG4mkqymW3i8onBT_NjZVlJKyT1e27E2H3-isJcLXmgg6yg,1278,I,190,156,True,False,False,False
stpKCjlZxJuzJBpwL8lU8MKO7nFvPcPeNzm8M-MelV6B1RsTXTjwYFWkFQ,FJ0gcYE-BQ2Yb30DGGITqIMFPb_q5ecd3pXndA0huTzXGFhigwE2aCBKzVOtkPx17QFoeaub0_YCAQ,1270,I,213,188,True,False,False,False
-TuQR87L12TO4dHWgUsPwAka92pTrps8ZNPUjeiHW6zhDa0,Nuf-67NgXlYpizx6vqzJm_Yf4otnDmPxkqh0Ll3KE98k7-QdLXquxTx1kXBsGQ18BNN4Pui9ZTouzw,1259,I,111,79,False,False,False,False
8pbGMcqtpHdJYxnzOq3K_k-7WpU80-DjGhp-T7I3_ioAbjTdMI5SoIdBYQ,PzG7bfiNlsP63nlcrl95wmJx0AKJWxOOW9oAGLuqgovJGNuPzZW4NQcxTa8_0ubSE2rtTxKEJZTd1Q,1255,I,157,125,True,False,False,False
v5Jnu63lnkaemedue1PbYlloLXvg3ylUmGg9OQ2HjOP6stQ,8vlleURt42r70Rp6NPAhUgvNSuwNae2saxRX_fT6_scqDcnyp6aIgl_LFEurmszPxfbwAohEJl3Y1A,1246,I,296,261,True,False,False,False
aOsS4io66U1CWg01BELlmTuPndeIDwvXPofV0oKy-CuXnvo,WRwGFlufb_Q6yzxiDpPdKoNM_ycwz4OtLwFw-ZO_D4lh0eFK2B1xmI99U-nFEZcYHL1SuDYmPzgQ7w,1246,I,111,81,False,False,False,False
83RrAqo44f8oGmpXbYiD2Gm6KJd9BooucSfFQD48I5qLC7ybFPt6qgC-lQ,Bh1pxSJoL4cC_Ab1NPRt1c0r2Uo2FG2Uxb7pbfeEgpver_Pp6Kh0S0YY-2VeEzZwUlzneXEl6mnZWQ,1226,I,276,254,True,False,False,False
ZIh5xqzF34wragx03-vgegNoz0buM-lFs5UK3iIkQIHeJ4k,Y9hP8XX9uyD_AcppqNcAl8y2rfiL6oaPODTpGGUIr7exwqSYmrA1u12_yDKQ1FMrjM4oDIT0QQPnMw,1221,I,128,104,True,False,False,False
BIJ1IeutwXWcGk1I4XYUfvl_9ekTYcjmCo-cvMY8eamVeMmelnnaQ_Oi7Q,adPkLu1eY8X3vlMyYG2_GLn0dG_yeskN_ofHUosPjiWvMEq1X7GmvVMRwaD_Kea1n0rulpToB-O5dQ,1218,I,333,252,True,False,False,False
6FxYXjEOpjSd_FN1ZORT8tGdldHIG5Aw4_n3XL1YLAptm8wSdRXn-eVbow,Oz49OznZCyisQSMTvGRo3Wc8Cwg2C1n4S5uHwR5PpYE81bGkc51FeE67787DBdZJSOwkCKR_tNXzGQ,1218,I,201,173,False,False,False,False
ZCBCZqvEOVk0xKw6RoclmG1F4FpFMiB1sqqX6Dc07H_Yt4M,wNnIFUWG9qMyIddM1ZsdKGmNy9KDVQ4j5rnat5uMtvBptmPWoSmyvs2Rv46UbLMVni13FGNEXaH-vg,1214,I,101,68,False,False,False,False
IfpX84uCs_2ARXWf7zOhpXZTl77wd-VwORiBS0-0NCLOHFuj,BYvbHfj_jNe-OcdrmjrLYljlIihRqZXMhGOF2I_86NlDqWXrh0lbSK6tOPfXD69s8tlHUEegRF485g,1213,I,225,189,False,False,False,False
